id,material_number,product_description,pack_size_id,weight
1,2196051,IRL500-5L WHITE NONUN ROUND CAN A/LW2088,1,0.0
2,5065580,INTERGARD 821 EAA820/3L/EU,7,0.0
3,5065581,INTERGARD 821 EAA821/3L/EU,7,0.0
4,5146273,INTERTHERM 715 HAA720/5L/EU,1,0.0
5,5250436,INTERTHERM 751CSA HTA398/5L/EU,1,0.0
6,5293007,HS COLORANT PRIMARY GVA910/5L/EU,1,0.0
7,5293009,HS COLORANT PRIMARY GVA911/5L/EU,1,5.885
8,5293010,HS COLORANT PRIMARY GVA909/5L/EU,1,0.0
9,5293011,HS COLORANT PRIMARY GVA902/5L/EU,1,0.0
10,5293012,HS COLORANT PRIMARY GVA908/5L/EU,1,5.705
11,5293013,HS COLORANT PRIMARY GVA903/5L/EU,1,5.4
12,5293014,HS COLORANT PRIMARY GVA907/5L/EU,1,5.935
13,5293015,HS COLORANT PRIMARY GVA914/5L/EU,1,5.77
14,5293016,HS COLORANT PRIMARY GVA913/5L/EU,1,6.02
15,5293017,HS COLORANT PRIMARY GVA905/5L/EU,1,5.0
16,5293018,HS COLORANT PRIMARY GVA912/5L/EU,1,5.46
17,5293020,HS COLORANT PRIMARY GVA906/5L/EU,1,10.315
18,5303686,INTERCLENE 145 BCA300/5L/XA,1,6.72570161290323
19,5303693,INTERSWIFT 6600 BMA664/20L/XA,2,33.836
20,5303694,INTERSWIFT 6600 BMA664/5L/XA,1,8.459
21,5303700,INTERSWIFT 6800HS BMA684/20L/XA,2,37.026
22,5303701,INTERSWIFT 6800HS BMA684/5L/XA,1,9.2565
23,5303702,INTERSWIFT 6800HS BMA688/20L/XA,2,0.0
24,5303704,INTERSWIFT 6800HS BMA689/20L/XA,2,0.0
25,5303710,INTERSPEED 6200 BQA624/20L/XA,2,34.752
26,5303711,INTERSPEED 6200 BQA624/5L/XA,1,8.688
27,5303716,INTERSPEED 6400 BQA648/20L/XA,2,37.566
28,5303822,INTERLAC 665 CLB000/20L/XA,2,0.0
29,5303823,INTERLAC 665 CLB000/5L/XA,1,5.4095
30,5303828,INTERLAC 665 CLB125/5L/XA,1,0.0
31,5303831,INTERLAC 665 CLB134/5L/XA,1,4.962
32,5303854,INTERLAC 665 CLC287/5L/XA,1,5.07259322033898
33,5303865,INTERLAC 665 CLC935/5L/XA,1,5.1799010989011
34,5303872,INTERLAC 665 CLD260/5L/XA,1,0.0
35,5303900,INTERLAC 665 CLF384/5L/XA,1,5.2935
36,5303905,INTERLAC 665 CLF684/5L/XA,1,0.0
37,5303913,INTERLAC 665 CLJ724/5L/XA,1,0.0
38,5303917,INTERLAC 665 CLK724/5L/XA,1,0.0
39,5303925,INTERLAC 665 CLL549/20L/XA,2,0.0
40,5303926,INTERLAC 665 CLL549/5L/XA,1,5.16716666666667
41,5303955,INTERLAC 665 CLY999/20L/XA,2,0.0
42,5303956,INTERLAC 665 CLY999/5L/XA,1,5.011
43,5303973,INTERPRIME 198 CPA098/20L/XA,2,0.0
44,5303974,INTERPRIME 198 CPA098/5L/XA,1,6.18250458715596
45,5303977,INTERPRIME 198 CPA099/20L/XA,2,24.78
46,5303978,INTERPRIME 198 CPA099/5L/XA,1,6.195
47,5304224,INTERZONE 485 EAA485/20L/XA,2,18.048
48,5304226,INTERZONE 485 EAA486/5L/XA,1,0.0
49,5304228,INTERGARD 821 EAA820/5L/KC,1,0.0
50,5304232,INTERGARD 821 EAA821/5L/KC,1,0.0
51,5304233,INTERZONE 954 EAA959/20L/XA,2,28.544
52,5304234,INTERZONE 954 EAA959/5L/XA,1,0.0
53,5304237,INTERZONE 954 EAA964/1.3L/XA,3,1.0094
54,5304238,INTERZONE 954 EAA964/5L/XA,1,4.03758823529412
55,5304242,INTERZONE 954 EAB132/20L/XA,2,0.0
56,5304314,INTERZONE 954 EAZ000/20L/XA,2,28.092
57,5304315,INTERZONE 954 EAZ000/5L/XA,1,7.023
58,5304411,INTERGARD 740 ECA914/1L/XA,4,0.9286875
59,5304412,INTERGARD 740 ECA914/5L/XA,1,3.71481818181818
60,5304414,INTERGARD 740 ECB000/20L/XA,2,0.0
61,5304415,INTERGARD 740 ECB000/5L/XA,1,5.676
62,5304420,INTERGARD 740 ECB134/20L/XA,2,0.0
63,5304490,INTERGARD 740 ECK724/20L/XA,2,21.672
64,5304514,INTERGARD 740 ECY999/20L/XA,2,0.0
65,5304515,INTERGARD 740 ECY999/5L/XA,1,6.74720833333333
